OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,PARK_ID,REGION,ShapeSTArea,ShapeSTLength
235,Winthrop Street Garden,BNAN,Land Trust,5,Roxbury,0.1112406, ,Open Space District,Community Gardens,NULL, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,4845.727051,293.0176562
236,Madison Park H.S. Athletic Fields,City of Boston, ,3,Roxbury,9.60564824,55 R New Dudley Str.,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, ,,0,0,,PARK_Maintenance_Region 5,418429.4543,2583.946265
237,Nuestra Playground,BNAN,Land Trust,3,Roxbury,0.23341849, ,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,10022.42773,406.7570084
238,Dennis Street Park,City of Boston,A97/USH,3,Roxbury,0.4160878,138 Moreland Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Moreland Green,,0,0,,PARK_Maintenance_Region 5,29863.61865,735.3686277
239,Holborn Street Playlot,City of Boston,A97/LWCF,3,Roxbury,0.1,6 Holborn Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,4519.354004,277.1445318
240,Medal of Honor Park,City of Boston,A97,1,South Boston,6.18269328,Opposite 805 East Broadway,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,269322.9077,2137.998994
241,Christopher Lee Playground,City of Boston,A97,3,South Boston,5.43798868, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,M Street Plgd,,0,0,,PARK_Maintenance_Region 2,236882.998,2251.534338
242,Hawes Burying Ground,City of Boston,Ch114S7/A97,4,South Boston,0.25082368,Opposite 286 Emerson Str.,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,10926.07397,418.947879
243,Union Burying Ground,City of Boston,Ch114S7/A97,4,South Boston,0.12115745,Opposite 655 East Fifth Str.,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,5277.712891,311.7954631
244,Dorchester Heights NHS,United States of America,A97/NRHP,1,South Boston,4.40398348, ,Residential District,"Malls, Squares & Plazas",National Park Service, ,X,X,Thomas Park/Telegraph Hill,,0,0,,INFO_Reallocation From Dept,191840.9309,1787.912991
245,Flaherty Park,City of Boston,A97,3,South Boston,0.2522215,Opposite 133 B Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,10978.14746,420.6724611
246,Buckley Playground,City of Boston,A97,3,South Boston,0.65561916,Opposite 209 West Third Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,28291.42383,766.8802101
247,Sterling Square,BHA, ,1,South Boston,1.0387651, ,Residential District,"Malls, Squares & Plazas",NULL,BHA,N,X, ,,0,0,,INFO_Reallocation From Dept,45249.41309,1378.571668
248,Veterans Memorial Park,BHA, ,3,South Boston,0.20177296, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,BHA,N,X, ,,0,0,,INFO_Reallocation From Dept,29567.35352,690.5478587
249,Ronan Park,City of Boston,A97,3,Dorchester,11.27463098,Opposite 65 Mt. Ida Road,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,489640.9001,3299.81232
250,Mt. Bowdoin Green,City of Boston,A97,1,Dorchester,0.53817884,Opposite 11 Bowdoin Ave.,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,23443.48657,598.7433835
251,Byrne Playground,City of Boston,A97,3,Dorchester,1.26302622,23 Everett Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,51774.04736,1032.823501
252,Doherty/Gibson Playground,City of Boston,A97,3,Dorchester,5.72627282, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Townfield,,0,0,,PARK_Maintenance_Region 2,249440.8799,2054.531915
253,Wellesley Park,City of Boston,A97,3,Dorchester,0.71338629,29 Wellesley Park,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,31075.66089,922.1171971
254,McMorrow Playground,Commonwealth of Massachusetts,A97,3,Dorchester,5.23186736, ,Industrial District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,227904.1941,2377.886746
255,Hemenway Playground,City of Boston,A97,3,Dorchester,4.39521048,531 Adams Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,191458.772,1754.859592
256,Rev. Loesch Family Park,City of Boston,A97,3,Dorchester,2.25259606,Opposite 21 Wainwright Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Cronin/Wainwright Park,,0,0,,PARK_Maintenance_Region 2,98078.55444,1250.417888
257,Codman Burying Ground,Private, ,4,Dorchester,2.62522784, ,Residential District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,114356.9583,1365.334319
258,Walsh Playground,City of Boston,A97,3,Dorchester,6.94564498,Opposite 31 Clancy Road,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,302557.6758,2368.69031
259,Dorchester South Burying Ground,City of Boston,Ch114S7/A97,4,Dorchester,1.94260591,Opposite 2096 Dorchester Ave.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,84621.41895,1264.469344
260,Dorchester Park,City of Boston,A97,3,Dorchester,27.29735362,1003 Adams Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,1189093.864,6480.995753
261,Gallivan/Hallet Circle,Commonwealth of Massachusetts,A97,1,Dorchester,0.47798957, ,Commercial/Office/Business District,"Malls, Squares & Plazas",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,20821.59619,688.441615
262,Toohig Playground,Commonwealth of Massachusetts,A97,3,Dorchester,2.12423446, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,92533.2981,1568.732488
263,Martin/Hilltop Playground,City of Boston,A97,3,Dorchester,1.31193964,101 Myrtlebank Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,57233.6875,997.6900525
264,Nightingale Garden,BNAN,Land Trust,5,Dorchester,1.37139983, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,59739.2395,1123.254903
265,Adams Rock,Private, ,6,Dorchester,0.21706994, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,9455.736328,430.266202
266,10 Josephine Street Garden,Community Group/Nonprofit,Land Trust,5,Dorchester,0.06908424, ,Residential District,Community Gardens,Boston Urban Gardeners, ,N,N, ,,0,0,,PARK_Maintenance_Ground Maintenance,3009.363281,230.21453
267,29 Josephine Street Garden,Community Group/Nonprofit,Land Trust,5,Dorchester,0.11306632, ,Residential District,Community Gardens,Boston Urban Gardeners, ,N, , ,,0,0,,INFO_Reallocation From Dept,4925.265625,335.1589437
268,Mother's Rest at Four Corners,City of Boston,A97,3,Dorchester,1.12453477, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,49925.37549,1020.599632
269,Ripley Playground,City of Boston,A97,3,Dorchester,0.82672673,Opposite 24 Ripley Road,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 2,36854.81519,940.4643369
270,Garvey Playground,City of Boston,A97,3,Dorchester,5.27312017,Opposite 345 Neposet Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,William H. Garvey Playground,,0,0,,PARK_Maintenance_Region 2,229295.8442,1961.126104
271,Centervale Park,City of Boston,,1,Dorchester,0.19595483,Between Upland Ave and Bourneside,Residential District,"Malls, Squares & Plazas",NULL,BPRD,N,X,Intervale Park,PWD,0,0,,PARK_Maintenance_Region 2,8535.944824,984.3099269
272,Ventura Playground,Commonwealth of Massachusetts,A97,3,Dorchester,1.30990583, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,57060.5127,1193.687302
273,Conley & Tenean Streets Park,Commonwealth of Massachusetts,A97,3,Dorchester,0.50706674, ,Industrial District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,22088.21948,724.4303375
274,Norton Street Playground,BRA, ,3,Dorchester,0.06590689, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,2957.494873,228.7635472
275,Keystone Shoreline,Private, ,6,Dorchester,0.52357348, ,Special District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,22807.2666,969.0387871
276,Granite Avenue Ledge,Private, ,6,Dorchester,0.38129459, ,Special District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,16609.48779,540.1502763
277,Geneva Cliffs I,City of Boston,A97,6,Dorchester,1.82935019, ,Residential District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,78334.9519,1346.483278
278,YMCA Community Park,Private, ,3,Dorchester,1.02749317, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,44758.39795,1170.51165
279,Torrey Street Park Garden,Community Group/Nonprofit,Land Trust,5,Dorchester,0.06794837, ,Residential District,Community Gardens,Boston Urban Gardeners, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,2959.883545,218.7974639
280,Wheatland Avenue Victory Garden,BNAN,Land Trust,5,Dorchester,0.15480932, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,6743.614014,335.0827704
281,Clayborne Street Garden,Community Group/Nonprofit,Land Trust,5,Dorchester,0.07610699, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,3315.279785,244.9913081
282,Fannie Lou Hamer Community Garden,Private,Land Trust,5,Dorchester,0.10322488, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,4496.555908,281.3837748
283,Audrey Jacobs Memorial CG,BNAN,Land Trust,5,Dorchester,0.10389404, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,4525.705322,286.9784182
284,Bullard Street Garden,Community Group/Nonprofit,Land Trust,5,Dorchester,0.09183434, ,Residential District,Community Gardens,Boston Urban Gardeners, ,N, , ,,0,0,,INFO_Reallocation From Dept,4000.374512,278.0150884
285,Quincy/Coleman Garden,Community Group/Nonprofit,Land Trust,5,Dorchester,0.3022826, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,13167.66553,463.3953356
286,Barry Street Garden,Community Group/Nonprofit,Land Trust,5,Dorchester,0.09218628, ,Residential District,Community Gardens,Boston Urban Gardeners, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,4015.706055,260.809962
287,Lydon Way Garden,City of Boston, ,5,Dorchester,0.18563368, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,8086.347412,404.7091836
288,Codman Square,City of Boston, ,1,Dorchester,0.33918222, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,,PARK_Maintenance_Region 2,14775.04053,572.4550699
289,Hayes Park,City of Boston,A97,3,South End,0.28368006,Opposite 178 West Canton Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,11986.6333,438.1108334
290,Union Park,City of Boston,A97,3,South End,0.37347945,24 Union Park,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,16269.05249,730.7609147
291,Peters Park II,BRA,,3,South End,0.42185015,230 Shawmut Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, , ,0,0,,INFO_Reallocation From Dept,22088.99438,1330.051903
292,Peters Park I,City of Boston,A97,3,South End,3.39506058,230 Shawmut Ave.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,,PARK_Maintenance_Region 5,144907.2222,1789.604206
293,Rotch Playground,City of Boston,A97,3,South End,2.74585015,30 Randolph Str.,Industrial District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,119611.3594,1412.849775
294,Ringgold Park,City of Boston,A97,3,South End,0.38043644,10 Ringgold Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,"Hanson St. Play Area, Ringgold St. Play Area", ,0,0,,PARK_Maintenance_Region 5,19405.79834,603.7360209
295,Blackstone Square,City of Boston,A97,1,South End,2.44443563,1535 Washington Str.,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,106481.5095,1309.759836
296,Franklin Square,City of Boston,A97,1,South End,2.48280505,Opposite 7 St. George Str.,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,108152.9104,1319.669925
297,South End South Burying Ground,City of Boston,Ch114S7/A97,4,South End,1.47716127,1620 Washington Str.,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,64033.50171,1177.641006
298,Worcester Square,City of Boston,A97,1,South End,0.34375641,17 Worcester Sq.,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,0,0,,PARK_Maintenance_Region 5,14974.29541,709.3220837
299,Carter Playground,City of Boston,A97,3,South End,4.91455022,627 Columbus Ave,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,214081.6125,2132.069668
300,Titus Sparrow Park,City of Boston,A97,3,South End,1.7513453,75 West Rutland Sq.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,78354.84009,1450.631853
301,Waltham Square,City of Boston,A97,1,South End,0.1184051,Opposite 75 Union Park Str.,Industrial District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,5157.818115,341.2405417
302,Harriet Tubman Square,City of Boston,A97,1,South End,0.14,Columbus/Warren Ave.,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Tubman Sq, Columbus Square",BPRD,0,0,,PARK_Maintenance_Region 5,6175.80249,359.8809442
303,Concord Square,City of Boston,A97,1,South End,0.14955097,Opposite 20 Concord Sq.,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,0,0,,PARK_Maintenance_Region 5,6514.555664,896.2653545
304,Rutland/Washington Community Garden,Community Group/Nonprofit,Land Trust,5,South End,0.28200651, ,Open Space District,Community Gardens,BNAN, ,N, , ,,0,0,,PARK_Maintenance_Region 5,12284.42236,495.7402641
305,Saranac/New Castle Garden,MBTA,A97,5,South End,0.15201745, ,Open Space District,Community Gardens,NULL,DCR,N, , ,,0,0,,INFO_Reallocation From Dept,6621.997803,671.906149
306,Kendall & Lenox Streets Garden,Community Group/Nonprofit, ,5,South End,0.43402264, ,Open Space District,Community Gardens,BNAN, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,18906.36328,633.6945093
307,Ramsay Park,City of Boston,A97,3,South End,5.49340772,1917 Washington Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,239297.0942,2040.891346
308,Worcester Street Garden,Community Group/Nonprofit, ,5,South End,0.57, ,Residential District,Community Gardens,, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,24808.20483,741.1456672
309,Berkeley Street Garden,Community Group/Nonprofit,Land Trust,5,South End,1.10192904, ,Residential District,Community Gardens,BNAN, ,N, , ,,0,0,,INFO_Reallocation From Dept,48000.88257,1635.980023
310,Warren & Clarendon Streets Garden,Community Group/Nonprofit,Land Trust,5,South End,0.05212554, ,Open Space District,Community Gardens,BNAN, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,2270.62915,197.3971439
311,Unity Towers Garden,Private, ,5,South End,0.06694949, ,Residential District,Community Gardens,NULL, ,N, ,Torre Unidad Gdn,,0,0,,PARK_Maintenance_Ground Maintenance,2916.371582,217.9827737
312,Dartmouth Garden,Community Group/Nonprofit,Land Trust,5,South End,0.07154899, ,Open Space District,Community Gardens,BNAN, ,N, , ,,0,0,,PARK_Maintenance_Region 5,3103.771973,234.1177095
313,Wellington Green,Community Group/Nonprofit,Land Trust,5,South End,0.04605808, ,Open Space District,Community Gardens,BNAN, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,2369.753418,238.3420425
314,Blackwood/Claremont Garden,MBTA,A97,5,Back Bay/Beacon Hill,0.09479788, ,Open Space District,Community Gardens,NULL,DCR,N, , ,,0,0,,INFO_Reallocation From Dept,4361.095703,321.6673112
315,Greenwich/Cumberland Garden,MBTA,A97,5,Back Bay/Beacon Hill,0.08851492, ,Open Space District,Community Gardens,NULL,DCR,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,4274.568115,327.2387396
316,Braddock Park Garden,MBTA,A97,5,South End,0.09212478, ,Residential District,Community Gardens,NULL,DCR,N, , ,,0,0,,INFO_Reallocation From Dept,3930.933838,270.5411308
317,Chester Park,City of Boston,A97,1,South End,0.89013036,Between 531 to 555 Mass Ave.,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,38774.76953,1679.24841
318,Msgr. Reynolds Playground,City of Boston,A97,3,South End,0.30609673,Corner of Wash. & Msgr. Reynolds,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,13978.65308,468.0440507
319,Rutland Square,City of Boston,A97,1,South End,0.15580724, ,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,0,0,,PARK_Maintenance_Ground Maintenance,6787.083496,923.5242938
320,Hiscock Park,City of Boston,A97,3,South End,0.10572969, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 5,4605.667236,288.9177734
321,Billings Field,City of Boston,A97,3,West Roxbury,10.77506733,369 LaGrange Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 4,469370.2772,2795.86271
322,Leatherbee Woods,BNAN,Land Trust/WPA,6,West Roxbury,8.15, ,Open Space District,Urban Wilds & Natural Areas,NULL, ,N,X,Hancock Swamp,,0,0,,PARK_Maintenance_Ground Maintenance,354979.2327,2501.690593
323,Mount Benedict Cemetery,Private, ,4,West Roxbury,79.21, ,Conservation Protection Subdistrict,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,3454684.523,11302.80067
324,Mount Lebanon Cemetery,Private, ,4,West Roxbury,48.5943994, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,2121996.862,15947.64842
325,Gethsemane Cemetery,Private, ,4,West Roxbury,20.81197696, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,907832.7039,3774.160879
326,Hancock Woods I,Commonwealth of Massachusetts,A97/WPA,2,West Roxbury,45.95, ,Conservation Protection Subdistrict,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,2001598.817,8079.254446
327,Hancock Woods II,Private,100/WPA,2,West Roxbury,4.59, ,Conservation Protection Subdistrict,"Parkways, Reservations & Beaches",NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,199859.6764,2093.782163
328,Dana Road I,City of Boston, ,6,West Roxbury,2.57749731, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,118826.9171,3280.449454
329,Dana Road II,Private, ,6,West Roxbury,0.35271219, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,8692.570679,569.5282321
330,Oak Ridge,Private, ,6,West Roxbury,0.17911201, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,7802.258057,354.2238116
331,Sawmill Brook/Brook Farm,Commonwealth of Massachusetts,A97/NRHP/WPA,2,West Roxbury,146.6370426, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,6509298.093,18133.71072
332,Congregation Mishkan Tefia Cemetery,Private, ,4,West Roxbury,9.58687512, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,417611.7047,3035.375468
333,Draper Playground,City of Boston,A97,3,West Roxbury,5.79121761,68 Stimpson Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 4,252269.9238,2274.520719
334,Westerly Burying Ground,City of Boston,Ch114S7/A97/NR,4,West Roxbury,0.90346258,Centre Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,39355.52966,963.0218051
335,Piemonte Park,City of Boston,A97,1,West Roxbury,0.08956676,Opposite 200 Lasell Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Region 4,3901.598022,322.6163895
336,Duffie Square,City of Boston,A97,1,West Roxbury,0.06040139,Clement/Stratford Str.,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,2631.131714,237.2186866
337,Centre Marsh,Private, ,6,West Roxbury,3.7189119, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,,PARK_Maintenance_Ground Maintenance,161998.6829,1841.740807
338,St Joseph's Cemetery,Private, ,4,West Roxbury,128.2757726, ,Conservation Protection Subdistrict,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,5624021.66,25581.04299
339,Allandale Woods I,City of Boston,A97/WPA,6,West Roxbury,49.58, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,BPRD,BPRD,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,2159607.388,13903.26028
340,Allandale Woods III,Private,A97/CR/WPA,6,West Roxbury,16.72, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,BCC,Private+BPRD,X,X,Allandale Condo CR,,0,0,,INFO_Reallocation From Dept,728521.7102,10707.41082
341,Bellevue Hill Reservation,Commonwealth of Massachusetts,A97,2,West Roxbury,26.78180477, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,,INFO_Reallocation From Dept,1166636.157,4438.480033
342,Praught/Bunker Fields,Private,A97,3,West Roxbury,4.91796284, ,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,214230.2699,2072.028461
343,West Roxbury H.S. Athletic Fields,City of Boston, ,3,West Roxbury,13.42,Off VFW Pkwy,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, ,,0,0,,PARK_Maintenance_Region 4,584754.0973,4350.468984
344,Catholic Memorial H.S. Athltc Fld,Private, ,3,West Roxbury,7.26006285, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,316253.9993,2609.819171
345,Harvard Medical School Quadrangle,Private, ,1,Fenway/Kenmore,1.71223131, ,Institutional District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,,INFO_Reallocation From Dept,74586.12183,1227.896682
346,Wentworth Grounds,Private, ,1,Fenway/Kenmore,3.28579794, ,Institutional District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,,INFO_Reallocation From Dept,143131.9031,2893.546632
347,Mason Schoolyard,City of Boston, ,3,Roxbury,0.38047679, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,,INFO_Reallocation From Dept,16573.86377,774.3221478
348,Boys Club Park,Private, ,3,Roxbury,0.81512514, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,,INFO_Reallocation From Dept,35507.48193,738.1356619
349,UMass Boston Athletic Fields,Commonwealth of Massachusetts, ,3,Dorchester,18.4677814, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,429393.0713,4541.066208
350,Claymont Terrace,Private, ,3,Dorchester,0.60573728, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,,INFO_Reallocation From Dept,26386.3855,712.9041088
351,Lucy Stone Schoolyard,City of Boston, ,3,Dorchester,0.78345732, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,,INFO_Reallocation From Dept,34128.00708,1512.691079
352,Dartmouth Street Mall,City of Boston, ,1,Back Bay/Beacon Hill,0.99856538,Western Sidewalk Dartmouth Street from Boylston to Beacon Sts,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,BPWD,N,X, ,BPWD,0,0,,INFO_Reallocation From Dept,43849.42798,2564.191329
353,Ramler Park,City of Boston,A97,3,Fenway/Kenmore,0.51,124 Peterborough Str.,Institutional District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Dorothy and David Ramler Park,,0,0,,PARK_Maintenance_Region 3,22040.09814,604.725552
354,Belle Isle Coastal Preserve,City of Boston,WPA/Ch91/AC,6,East Boston,1.57, ,Open Space District,Urban Wilds & Natural Areas,NULL,BPRD,N,X, ,,0,0,,INFO_Reallocation From Dept,68192.25073,1317.672623
355,Fernald Rock,City of Boston,A97,6,Dorchester,0.06422499, ,Residential District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, ,,0,0,,PARK_Maintenance_Ground Maintenance,2763.768311,217.0126869
356,Richmond & North Streets Park I,MassDOT,BPRD License,3,Central Boston,0.09, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X,Richmond Street Play Area,,0,0,,INFO_Reallocation From Dept,4137.634033,450.9986225
357,Nashua Street Park,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Central Boston,2.03353691, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X,New Charles River Reservation,,0,0,,INFO_Reallocation From Dept,88582.44409,1848.828092
